Gesture,Image Path,T0,T1,T2,T3,Thumb,I3,I2,I1,Index,M3,M2,M1,Middle,R3,R2,R1,Ring,L3,L2,L1,Little
courser,./1.png,"432,352","414,343","402,316","415,295","435,296","417,278","422,246","428,226","434,208","436,282","439,273","430,298","424,308","452,291","453,291","438,313","431,319","465,304","462,307","448,324","440,328"
courser,./2.png,"431,357","413,343","402,315","415,296","434,295","418,279","424,245","430,227","437,210","435,286","438,272","428,298","424,309","450,296","451,289","437,312","432,321","463,308","461,304","447,320","442,327"
courser,./3.png,"431,357","413,343","402,315","415,297","434,295","418,279","424,245","430,226","437,209","436,286","438,272","428,298","423,309","450,296","451,288","437,312","432,321","463,308","461,304","447,321","441,327"
courser,./4.png,"447,405","428,390","423,357","442,339","461,335","436,323","442,291","446,270","451,252","457,330","465,302","455,322","450,339","474,343","477,329","462,349","456,363","486,359","483,352","470,367","466,378"
courser,./5.png,"445,327","424,314","412,276","427,248","450,243","423,248","421,218","421,199","426,182","441,253","443,228","434,257","433,273","456,261","460,241","446,269","443,283","471,272","469,259","457,278","455,289"
courser,./6.png,"441,325","423,306","413,276","426,251","447,243","424,249","424,216","426,197","430,181","440,254","445,229","436,254","432,270","455,263","459,242","446,267","440,283","467,276","467,262","455,277","449,289"
courser,./7.png,"436,336","419,320","408,291","419,268","438,259","421,260","421,226","423,206","427,188","438,266","440,241","429,266","425,281","453,276","454,258","440,284","435,298","466,289","463,276","450,293","444,304"
courser,./8.png,"412,337","393,322","378,296","382,273","401,263","391,259","389,226","389,206","391,189","409,262","404,245","396,271","395,283","424,270","419,260","407,285","405,296","438,282","428,280","416,298","413,306"
courser,./9.png,"398,332","379,318","362,292","365,269","383,261","376,254","372,221","370,202","372,185","393,257","385,241","378,267","378,279","408,265","399,256","390,281","389,292","422,277","410,274","400,292","399,301"
courser,./10.png,"363,312","347,307","329,285","327,262","343,251","339,252","331,228","329,225","331,221","355,250","346,231","342,252","343,266","371,254","360,244","354,267","353,280","386,262","371,263","362,281","359,292"
courser,./11.png,"366,320","346,307","328,283","327,261","342,250","339,245","334,214","331,196","331,179","356,247","346,231","341,256","343,268","372,253","360,246","354,270","355,282","386,264","372,264","364,281","363,289"
courser,./12.png,"346,312","326,299","308,275","302,252","317,243","319,239","312,207","306,188","304,172","335,240","322,223","318,248","321,262","350,245","334,239","330,263","333,273","363,255","346,255","340,273","341,281"
courser,./13.png,"319,292","299,287","277,266","271,244","284,230","289,232","278,222","280,236","286,247","305,229","288,219","290,240","294,253","320,232","302,223","300,247","303,262","334,239","314,239","308,258","306,271"
courser,./14.png,"323,298","300,288","280,268","272,247","282,232","288,226","276,197","269,179","265,164","304,225","286,213","285,235","287,249","319,228","300,228","300,251","303,263","331,236","313,242","308,261","308,271"
courser,./15.png,"296,281","281,278","259,260","250,239","260,223","266,226","255,204","249,189","245,177","281,221","263,208","266,228","272,242","297,223","277,216","278,239","282,252","311,229","290,231","286,250","286,263"
courser,./16.png,"302,288","279,279","258,260","251,239","259,224","265,219","253,193","245,177","241,162","282,217","263,204","263,226","268,238","297,220","276,219","275,243","280,254","310,227","290,231","286,250","287,260"
courser,./17.png,"292,289","267,282","245,264","237,243","245,226","251,224","237,199","229,183","224,168","268,220","248,210","250,234","257,247","283,221","262,221","264,246","271,258","297,227","275,233","272,254","275,265"
courser,./18.png,"293,288","269,280","247,261","240,240","249,225","254,223","242,196","234,180","229,165","270,220","252,210","253,233","258,246","285,222","266,222","267,245","272,258","299,228","279,233","276,252","278,262"
courser,./19.png,"324,286","304,277","284,255","279,233","292,219","289,216","280,188","274,171","272,154","306,215","293,199","290,223","293,236","322,220","307,215","304,240","307,249","336,229","319,231","314,250","316,258"
courser,./20.png,"352,283","335,280","316,256","314,232","330,221","327,231","319,214","317,212","319,210","342,227","330,207","329,227","331,240","358,228","345,216","341,239","342,254","373,234","358,233","349,252","345,264"
courser,./21.png,"353,291","333,281","315,257","314,233","328,222","325,220","318,188","314,169","311,152","343,220","331,203","327,229","329,243","359,226","344,219","339,245","340,256","372,235","356,235","349,254","348,263"
courser,./22.png,"382,300","361,285","344,259","348,235","368,227","358,225","354,194","350,176","352,160","375,228","369,210","361,237","362,247","390,236","385,222","373,248","373,259","404,248","394,241","382,258","380,268"
courser,./23.png,"395,303","376,289","362,262","367,238","386,229","376,227","375,194","375,174","378,157","393,232","389,211","379,237","378,250","408,241","402,228","391,254","389,265","421,253","412,245","400,263","397,272"
courser,./24.png,"417,315","399,301","386,271","395,245","416,238","401,236","403,202","405,181","410,163","419,241","418,220","408,246","405,260","434,250","431,239","418,265","414,276","447,263","439,258","427,275","423,284"
courser,./25.png,"427,322","410,306","398,277","408,253","430,248","414,241","418,206","421,186","427,168","431,247","432,226","420,253","417,266","446,257","445,246","431,272","426,283","459,271","454,264","440,282","435,291"
courser,./26.png,"425,321","406,303","395,275","405,250","428,245","412,239","416,204","419,183","424,166","429,246","430,225","419,252","414,265","444,257","444,242","429,268","423,282","456,271","453,262","438,279","431,289"
courser,./27.png,"408,310","388,295","375,265","384,241","405,234","392,228","394,197","395,176","399,159","410,233","407,215","396,242","393,255","426,243","420,232","406,258","402,271","438,257","429,251","415,268","411,278"
