Gesture,Image Path,T0,T1,T2,T3,Thumb,I3,I2,I1,Index,M3,M2,M1,Middle,R3,R2,R1,Ring,L3,L2,L1,Little
cursor,hand_images\hand_1.png,"342,348","324,335","313,317","311,302","312,290","332,290","318,283","307,292","302,304","340,289","321,288","313,302","311,316","348,292","327,295","322,310","322,324","355,297","335,300","330,312","329,323"
cursor,hand_images\hand_2.png,"384,290","368,281","355,255","360,234","372,224","363,232","362,207","363,191","364,177","377,233","375,214","370,228","368,238","391,238","385,229","379,248","379,259","403,246","395,239","388,254","387,263"
cursor,hand_images\hand_3.png,"396,301","378,291","367,266","374,248","387,237","375,251","373,237","373,227","373,218","389,249","386,235","382,238","381,236","402,252","399,240","392,259","390,270","415,257","410,249","403,264","399,273"
cursor,hand_images\hand_4.png,"398,304","380,293","368,268","373,246","386,234","374,239","373,213","373,198","375,185","389,240","387,221","382,237","379,248","403,245","399,241","392,262","390,272","416,254","409,252","402,268","399,275"
cursor,hand_images\hand_5.png,"399,309","381,298","369,274","373,254","388,245","375,258","372,243","372,232","372,223","389,256","385,241","383,244","382,245","403,258","399,246","393,264","391,276","417,262","409,256","402,270","399,279"
cursor,hand_images\hand_6.png,"399,310","380,298","366,274","371,254","386,244","374,245","373,217","374,202","376,188","390,247","388,229","382,242","380,253","404,252","399,247","392,269","390,281","416,260","409,257","402,273","400,282"
cursor,hand_images\hand_7.png,"401,304","382,294","370,269","377,250","391,241","377,251","376,233","377,220","377,208","392,250","391,230","386,236","383,241","407,253","402,243","396,262","393,274","420,259","413,253","405,267","402,276"
cursor,hand_images\hand_8.png,"403,309","383,297","369,271","376,249","392,241","378,243","377,216","377,201","378,187","393,244","392,225","387,239","384,250","407,249","403,243","396,265","393,277","420,258","412,255","405,271","403,280"
cursor,hand_images\hand_9.png,"416,299","397,287","384,260","394,239","411,231","393,232","393,205","394,191","397,178","409,234","409,215","404,233","402,244","422,241","420,235","412,255","410,265","434,250","429,247","421,262","418,269"
cursor,hand_images\hand_10.png,"427,281","409,269","397,243","406,222","423,213","402,214","403,186","405,171","408,157","418,217","421,198","416,216","412,227","433,223","432,216","425,236","422,246","445,233","442,229","434,244","432,251"
