Gesture,Image Name,T0,T1,T2,T3,Thumb,I3,I2,I1,Index,M3,M2,M1,Middle,R3,R2,R1,Ring,L3,L2,L1,Little
gesture,hand_images\hand_1.png,"197,366","182,370","165,371","153,374","146,381","166,349","150,339","139,336","130,334","171,342","155,331","144,326","135,324","176,337","161,327","150,323","141,321","180,336","168,328","158,324","151,322"
gesture,hand_images\hand_2.png,"268,311","245,303","227,289","223,273","230,262","232,255","222,235","215,221","211,209","245,253","231,230","220,217","211,207","259,255","243,248","238,264","238,277","273,262","257,258","252,271","252,282"
gesture,hand_images\hand_3.png,"335,264","316,253","306,233","309,214","317,203","300,210","296,187","295,173","295,160","312,207","306,181","303,165","302,150","325,209","327,192","324,209","322,221","339,214","338,202","333,213","330,222"
gesture,hand_images\hand_4.png,"353,275","336,262","328,242","335,223","345,212","324,215","322,191","322,176","323,163","337,214","333,186","332,169","331,154","351,218","353,203","349,218","346,230","364,227","364,213","359,224","356,233"
gesture,hand_images\hand_5.png,"366,279","350,267","343,247","349,228","358,217","339,218","338,194","339,179","340,166","352,217","350,188","350,172","350,157","365,222","369,205","366,220","363,233","377,232","379,219","375,230","373,238"
gesture,hand_images\hand_6.png,"399,285","382,273","375,252","386,235","398,223","371,222","372,197","374,182","377,169","385,221","386,194","387,177","390,162","399,227","406,210","403,224","399,235","411,237","415,225","411,234","407,243"
gesture,hand_images\hand_7.png,"429,278","413,264","407,242","419,224","432,212","404,214","405,187","408,171","410,157","419,213","419,184","420,166","422,150","433,219","440,201","436,217","432,230","446,229","449,217","444,227","440,235"
gesture,hand_images\hand_8.png,"443,257","426,239","420,217","431,198","445,188","420,193","422,168","426,153","430,140","435,193","436,163","438,146","440,132","449,199","453,180","446,195","441,207","463,209","462,194","455,203","450,212"
gesture,hand_images\hand_9.png,"453,257","435,241","429,216","439,196","454,187","440,189","444,164","448,149","452,135","455,190","460,160","462,142","465,126","468,198","471,179","461,194","454,207","480,210","478,194","469,202","462,212"
gesture,hand_images\hand_10.png,"456,273","439,256","433,234","443,215","457,206","443,205","446,180","451,164","456,151","457,207","461,177","465,160","470,145","470,216","475,197","464,216","458,229","481,228","481,214","471,225","464,234"
gesture,hand_images\hand_11.png,"458,275","442,259","436,239","445,221","459,213","444,211","448,187","452,173","457,161","457,213","461,185","465,169","469,155","470,221","474,204","465,220","459,232","481,232","481,220","472,229","466,237"
gesture,hand_images\hand_12.png,"465,278","451,263","446,244","455,228","468,221","454,221","458,198","463,186","468,175","466,222","471,197","475,182","480,169","478,229","484,214","475,228","468,239","487,240","489,228","481,235","475,243"
gesture,hand_images\hand_13.png,"461,277","448,261","444,244","453,228","466,222","452,221","457,200","462,188","468,177","464,223","470,199","475,185","480,172","475,230","483,215","474,227","467,238","484,241","487,229","480,235","473,243"
gesture,hand_images\hand_14.png,"438,281","422,266","415,248","423,231","436,224","423,223","426,201","430,187","434,176","436,224","440,199","442,184","445,171","448,230","450,216","442,228","436,239","458,240","456,229","448,236","442,244"
gesture,hand_images\hand_15.png,"422,284","405,270","396,252","402,235","414,226","404,227","406,204","408,191","411,179","417,227","419,201","420,186","422,172","429,233","430,219","421,232","415,243","439,243","436,232","427,240","422,249"
gesture,hand_images\hand_16.png,"389,291","371,279","359,263","361,249","373,242","368,238","366,217","366,204","366,193","380,237","377,212","375,197","373,184","392,242","384,234","378,246","374,257","403,250","394,242","386,251","382,259"
gesture,hand_images\hand_17.png,"349,304","336,300","323,288","319,275","327,266","335,261","335,244","332,233","330,224","344,260","336,252","332,262","331,270","354,262","343,256","338,269","337,279","363,266","351,261","343,270","339,279"
gesture,hand_images\hand_18.png,"355,308","337,299","323,287","318,274","326,264","331,258","326,238","322,225","320,214","341,256","332,233","326,219","320,207","353,258","338,254","333,269","331,281","363,264","348,261","342,272","339,281"
gesture,hand_images\hand_19.png,"341,317","323,312","307,303","301,293","306,284","313,271","305,253","299,242","295,232","322,269","311,249","302,236","295,226","332,271","317,268","311,283","310,295","341,277","327,275","321,285","318,295"
gesture,hand_images\hand_20.png,"337,325","318,319","301,310","292,301","297,291","307,278","295,262","289,252","283,243","316,275","302,255","292,245","283,235","327,277","306,275","304,292","307,303","336,283","317,282","312,294","313,304"
gesture,hand_images\hand_21.png,"337,311","325,309","311,299","306,288","310,279","323,270","318,252","312,240","307,231","331,269","318,264","314,277","314,287","340,270","325,267","320,280","321,290","348,275","333,273","326,282","325,291"
gesture,hand_images\hand_22.png,"345,315","327,308","311,299","304,288","310,279","317,268","308,250","303,239","299,229","326,266","315,245","306,233","298,222","337,267","322,265","318,280","318,291","347,273","332,271","326,282","325,292"
gesture,hand_images\hand_23.png,"386,293","368,282","354,267","355,252","368,245","361,241","355,221","353,209","351,198","373,240","367,215","364,200","361,187","386,243","377,235","371,247","367,257","397,251","388,244","381,253","377,262"
gesture,hand_images\hand_24.png,"412,258","399,254","391,243","396,234","405,231","395,228","393,206","392,194","392,184","407,226","403,203","401,188","400,176","418,230","416,223","412,234","409,242","427,238","424,234","418,241","413,247"
gesture,hand_images\hand_25.png,"413,286","395,273","386,254","392,238","404,230","393,230","391,208","392,194","393,182","405,229","404,203","402,188","402,174","418,235","419,220","410,234","405,246","430,245","426,234","418,242","412,250"
gesture,hand_images\hand_26.png,"439,269","425,263","418,247","426,231","440,225","425,223","428,201","432,187","435,176","438,224","442,199","444,183","446,170","449,230","454,215","447,226","442,236","459,241","460,230","452,236","446,242"
gesture,hand_images\hand_27.png,"436,285","421,269","417,249","426,232","439,225","424,223","428,201","432,187","436,176","437,224","441,199","444,184","448,170","449,232","455,214","445,227","439,238","459,243","460,230","451,235","445,242"
gesture,hand_images\hand_28.png,"463,260","451,253","447,240","457,229","469,224","456,216","463,196","469,186","474,177","468,219","476,196","481,183","486,172","478,227","486,215","478,226","471,233","485,238","491,230","483,235","476,240"
gesture,hand_images\hand_29.png,"457,282","445,265","445,244","458,230","471,225","454,219","462,198","469,187","476,178","466,222","475,199","481,185","488,173","477,231","488,215","478,226","470,236","486,244","491,232","482,236","474,241"
gesture,hand_images\hand_30.png,"470,261","459,252","458,238","471,229","485,226","468,217","478,198","484,188","491,180","480,221","490,199","496,187","504,176","489,229","500,218","492,227","484,234","495,241","503,233","496,238","488,242"
gesture,hand_images\hand_31.png,"463,281","453,262","455,243","470,230","485,228","466,219","476,199","483,189","490,180","479,224","490,202","497,189","505,177","489,233","503,219","492,228","482,237","496,247","503,236","495,240","487,244"
gesture,hand_images\hand_32.png,"485,282","481,262","488,243","508,235","525,234","497,223","509,205","519,196","527,189","509,228","522,208","531,197","540,188","517,238","533,229","525,237","517,243","522,252","532,246","526,249","518,253"
gesture,hand_images\hand_33.png,"514,290","511,267","522,249","544,243","561,243","531,225","545,207","554,197","562,190","543,233","555,213","564,202","573,193","550,246","565,235","561,244","555,251","556,259","569,250","564,254","557,259"
gesture,hand_images\hand_34.png,"506,233","517,236","529,235","538,233","543,228","527,206","534,194","538,187","542,181","523,202","529,190","533,184","537,180","518,200","524,189","529,184","533,180","514,200","520,191","523,186","527,182"
gesture,hand_images\hand_35.png,"498,284","493,264","499,243","519,234","538,231","509,220","519,200","528,189","536,180","520,226","529,202","535,190","540,180","528,236","543,228","535,237","527,244","533,250","544,244","536,249","528,252"
gesture,hand_images\hand_36.png,"464,287","452,268","451,248","465,233","480,228","463,221","469,196","474,183","480,171","476,224","481,197","484,182","488,169","487,233","498,216","490,227","483,236","496,246","502,234","494,238","485,244"
gesture,hand_images\hand_37.png,"432,291","417,274","412,254","423,238","437,231","425,224","429,199","433,184","438,171","439,226","444,199","446,182","451,168","450,234","457,217","447,228","440,239","460,247","461,234","452,240","445,247"
gesture,hand_images\hand_38.png,"407,297","389,282","381,262","390,245","402,238","392,231","394,208","396,193","399,180","405,232","408,204","409,188","411,173","418,240","422,222","411,234","403,246","429,252","428,239","418,246","411,255"
gesture,hand_images\hand_39.png,"353,303","340,300","325,288","321,275","331,268","337,262","332,251","330,255","328,257","348,259","346,239","341,227","337,216","359,262","351,248","341,260","337,271","370,270","360,260","351,268","346,276"
gesture,hand_images\hand_40.png,"361,312","342,302","326,291","321,278","332,269","333,256","329,234","328,221","327,209","345,255","340,229","334,215","330,203","358,259","349,246","341,259","336,271","370,268","360,259","350,267","344,276"
gesture,hand_images\hand_41.png,"336,330","317,325","302,317","293,310","292,301","303,279","294,261","288,248","283,237","313,277","300,258","290,245","282,235","324,280","307,275","301,290","300,303","334,288","318,286","311,297","308,307"
gesture,hand_images\hand_42.png,"311,341","297,344","282,336","274,329","272,325","286,305","279,287","270,276","265,267","295,301","281,296","276,308","277,318","303,302","287,299","282,312","282,323","312,306","296,308","290,319","289,329"
