Gesture,Image Name,T0,T1,T2,T3,Thumb,I3,I2,I1,Index,M3,M2,M1,Middle,R3,R2,R1,Ring,L3,L2,L1,Little
dubble_click,hand_images\hand_1.png,"282,326","267,317","260,298","267,281","282,276","267,282","265,263","265,249","265,236","278,281","279,260","279,245","280,232","289,283","289,261","288,247","287,235","299,289","293,276","286,282","282,291"
dubble_click,hand_images\hand_2.png,"298,328","284,315","278,294","286,278","299,274","282,279","281,260","281,248","282,238","292,278","291,257","290,244","289,231","302,280","303,259","300,246","298,234","312,286","309,273","303,278","299,285"
dubble_click,hand_images\hand_3.png,"309,329","296,316","292,295","302,280","314,275","297,279","298,260","300,248","302,239","308,279","309,258","309,244","309,233","317,282","320,261","318,247","317,236","327,289","327,275","321,276","316,280"
dubble_click,hand_images\hand_4.png,"309,330","296,318","291,296","301,281","315,276","297,279","298,259","299,247","301,238","308,279","309,257","309,244","310,233","317,283","320,262","319,248","318,236","327,290","327,276","321,278","316,282"
dubble_click,hand_images\hand_5.png,"307,331","293,319","287,297","298,282","311,277","294,279","294,259","296,247","297,237","304,279","305,257","306,244","307,232","314,283","316,261","315,247","314,235","325,290","323,276","316,280","312,287"
dubble_click,hand_images\hand_6.png,"306,317","291,306","285,284","293,268","305,262","288,265","287,246","287,235","288,225","299,264","298,243","297,230","296,219","309,266","309,245","307,233","304,223","320,273","317,261","312,263","308,266"
dubble_click,hand_images\hand_7.png,"317,279","300,269","292,248","300,231","312,225","294,236","290,216","290,205","290,195","304,232","300,211","299,198","298,187","315,234","314,212","310,199","307,189","326,238","324,224","319,227","315,233"
dubble_click,hand_images\hand_8.png,"329,262","312,251","303,230","312,214","324,208","302,219","297,199","297,186","297,176","312,215","307,194","305,180","303,168","323,215","321,194","317,181","313,169","335,219","333,206","327,209","324,216"
dubble_click,hand_images\hand_9.png,"345,254","327,242","319,222","328,207","340,201","317,208","313,188","313,174","313,163","327,204","323,183","321,168","318,156","338,205","337,184","333,170","329,160","350,209","349,197","344,199","338,204"
dubble_click,hand_images\hand_10.png,"368,256","352,244","344,220","354,202","367,197","340,203","338,180","339,167","339,155","351,200","348,177","348,161","347,149","363,202","363,179","360,164","358,152","376,207","376,194","371,198","366,204"
dubble_click,hand_images\hand_11.png,"380,273","365,261","357,237","367,220","380,215","353,217","351,194","353,180","354,168","365,214","363,190","364,175","364,161","376,217","376,193","376,178","374,165","389,223","389,210","385,215","382,222"
dubble_click,hand_images\hand_12.png,"385,283","371,271","363,248","372,231","384,225","359,227","357,204","358,189","360,177","370,224","368,200","369,184","369,170","382,227","382,203","381,188","379,175","395,233","395,220","391,225","387,232"
dubble_click,hand_images\hand_13.png,"404,306","390,291","382,268","389,252","401,245","381,247","381,223","383,208","386,196","393,245","394,220","395,205","397,192","406,249","407,224","407,209","406,196","419,257","419,242","413,245","407,251"
dubble_click,hand_images\hand_14.png,"430,311","416,295","410,273","423,257","438,252","405,251","405,228","409,214","412,203","417,248","418,225","420,209","421,197","430,252","432,230","432,216","431,204","443,260","445,249","440,253","435,260"
dubble_click,hand_images\hand_15.png,"435,312","421,296","419,271","433,255","447,253","418,252","421,228","426,214","430,203","430,252","433,228","437,212","441,199","442,257","447,235","449,220","450,207","454,266","457,254","451,258","446,264"
dubble_click,hand_images\hand_16.png,"438,316","425,299","424,273","439,259","455,259","425,255","429,232","434,218","438,207","438,256","441,232","445,216","449,203","450,262","455,240","456,224","458,210","462,272","464,259","457,262","450,269"
dubble_click,hand_images\hand_17.png,"435,318","422,298","421,274","438,260","453,261","428,257","433,232","438,219","444,207","441,259","447,233","452,218","456,205","452,265","460,241","462,225","464,212","462,277","466,259","458,263","451,271"
dubble_click,hand_images\hand_18.png,"430,318","417,299","417,274","433,260","449,261","425,256","430,233","436,219","441,208","438,258","444,234","448,218","452,204","448,265","457,241","459,224","461,211","459,276","461,260","454,264","447,271"
dubble_click,hand_images\hand_19.png,"399,317","381,303","373,278","385,260","400,256","381,256","381,233","384,219","386,206","394,255","396,230","396,213","396,199","406,260","409,235","408,218","406,204","419,268","415,256","407,262","401,271"
dubble_click,hand_images\hand_20.png,"370,321","352,309","340,286","350,269","368,265","348,260","347,235","348,220","348,207","361,258","360,231","359,214","357,201","374,261","374,235","371,219","367,205","388,271","382,256","375,262","369,270"
dubble_click,hand_images\hand_21.png,"335,306","316,297","302,272","308,251","324,247","306,247","302,222","301,206","299,193","319,244","315,216","312,199","309,185","333,246","329,218","324,202","319,188","348,252","340,238","334,245","331,255"
dubble_click,hand_images\hand_22.png,"332,299","313,289","299,263","305,240","323,236","305,237","300,212","298,197","296,183","318,234","312,206","309,189","305,174","332,236","328,208","321,192","315,177","346,243","336,228","330,237","327,248"
dubble_click,hand_images\hand_23.png,"366,288","345,278","330,253","338,232","353,226","330,226","326,202","326,186","326,172","344,222","339,196","337,178","334,162","358,224","356,197","350,181","345,167","374,230","368,216","362,223","357,232"
dubble_click,hand_images\hand_24.png,"402,301","384,288","375,261","387,241","403,235","376,238","375,211","377,194","378,180","390,236","389,207","390,190","390,174","404,240","405,212","403,195","401,180","418,248","416,231","411,237","407,247"
dubble_click,hand_images\hand_25.png,"404,305","387,292","378,265","389,245","405,239","378,243","377,216","379,200","380,186","392,241","391,213","392,195","392,180","406,245","407,216","405,199","403,184","421,253","418,237","412,244","408,254"
dubble_click,hand_images\hand_26.png,"399,313","381,301","370,277","380,256","395,249","372,251","370,225","372,209","373,195","386,249","384,221","384,203","383,188","400,252","400,224","397,208","394,193","414,260","412,246","405,253","401,262"
